Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-1249.074	-1460.091	211.017	0.8438532	3.813947	2.543391	2.668209
6	-1240.218	-1451.154	210.936	0.9248413	3.813947	2.543391	2.668209
12	-1242.702	-1453.55	210.8484	0.8697378	3.926166	1.856183	2.960133
18	-1241.876	-1452.415	210.5391	0.7610442	5.487647	1.709241	2.989575
24	-1246.663	-1458.398	211.7355	0.8930764	3.671437	1.304951	2.699153
30	-1245.868	-1457.06	211.1919	0.9227581	5.244565	1.336304	2.699153
36	-1247.62	-1459.222	211.6021	1.003149	4.890198	1.115231	2.574279
42	-1244.032	-1455.196	211.1638	1.05623	5.388419	1.201652	2.679999
48	-1238.701	-1450.712	212.0118	1.05623	5.661143	1.228836	2.083052
54	-1245.034	-1457.276	212.2421	1.168015	4.73185	1.127979	2.083052
60	-1248.33	-1460.421	212.0906	1.22386	5.419091	1.183918	1.986874
66	-1251.114	-1462.636	211.5223	1.073011	4.365831	1.925049	2.302971
72	-1255.072	-1465.975	210.9034	0.794238	5.058297	2.34642	2.591021
78	-1246.316	-1456.114	209.7973	0.6303224	3.564624	2.436409	3.606736
84	-1240.91	-1451.191	210.2809	0.8304725	3.910012	2.436409	3.13296
90	-1243.262	-1453.994	210.7324	0.7423793	5.029336	1.226785	3.175233
96	-1245.413	-1456.313	210.8994	0.7206616	5.875012	1.471035	2.83846
102	-1240.837	-1452.611	211.7739	0.838406	5.221386	1.471035	2.327278
108	-1244.318	-1454.914	210.5966	1.035139	4.403301	2.40779	2.730749
114	-1243.428	-1453.927	210.4982	0.6599788	4.758586	1.522001	3.270782
120	-1248.24	-1458.088	209.8487	0.679877	4.722051	1.476631	3.664434
126	-1254.56	-1464.899	210.3385	0.909841	5.082288	1.090594	3.372165
132	-1247.7	-1458.08	210.3796	0.6010522	5.082288	1.406084	3.372165
138	-1244.095	-1455.141	211.046	0.7807199	4.118684	1.587983	2.962556
144	-1242.056	-1453.101	211.0455	0.8611509	4.634681	1.271784	2.962556
150	-1246.567	-1458.439	211.8722	1.022122	2.530643	2.182058	2.468872
156	-1254.433	-1465.854	211.4206	0.9335041	4.15826	2.001248	2.468872
162	-1257.679	-1469.595	211.9161	0.9888876	5.560336	1.469324	2.080951
168	-1254.74	-1466.627	211.8864	0.8985496	5.798112	1.520389	2.095678
174	-1261.214	-1472.901	211.6874	0.8752031	7.296722	1.553299	2.003807
180	-1262.073	-1473.65	211.5773	1.009151	5.027348	0.9665293	2.651291
186	-1255.926	-1466.763	210.8362	0.9697548	4.37414	2.15665	2.711008
192	-1261.496	-1472.142	210.6461	0.7739018	3.865309	1.518805	3.284997
198	-1266.509	-1477.42	210.9113	0.6990907	5.013966	1.861837	2.820164
204	-1264.788	-1474.907	210.1192	0.6446988	4.780421	2.14672	3.266723
210	-1250.385	-1460.251	209.8661	0.7752234	4.87368	1.694299	3.484241
216	-1243.374	-1454.789	211.4151	0.7796834	5.373378	1.736134	2.448552
222	-1240.842	-1452.722	211.88	0.7796834	5.702302	1.040514	2.448552
228	-1238.907	-1450.241	211.334	0.7640471	4.809866	1.148563	2.880473
234	-1249.941	-1460.765	210.8243	0.6455519	5.287961	1.148563	3.177005
240	-1260.583	-1470.387	209.8032	0.6191266	5.944219	1.112051	3.711425
246	-1257.499	-1468.474	210.9752	0.7921714	4.093712	2.410605	2.707636
252	-1261.959	-1471.547	209.5879	0.6908793	3.55476	2.410605	3.702573
258	-1260.928	-1472.203	211.2754	0.9088582	4.460085	1.940282	2.537812
264	-1258.658	-1470.383	211.7256	0.9053939	6.736706	0.9806917	2.35087
270	-1247.605	-1458.375	210.7701	0.7176758	4.400829	1.421476	3.183952
276	-1240.514	-1451.11	210.5954	0.8061257	3.977675	1.737644	3.183952
282	-1238.614	-1448.999	210.3851	0.7914344	3.977675	1.599331	3.371869
288	-1240.204	-1450.998	210.7933	0.8548166	4.132042	1.281668	3.205744
294	-1240.291	-1450.216	209.9251	0.6427821	4.456071	1.641038	3.620097
300	-1234.104	-1444.365	210.261	0.7315859	3.839348	1.339648	3.620097
306	-1240.646	-1451.259	210.6131	0.6585687	4.521764	1.364019	3.316025
312	-1256.846	-1466.914	210.0678	0.7323462	3.519358	2.040118	3.523829
318	-1257.119	-1466.292	209.1731	0.5419446	3.714024	1.426704	4.33736
324	-1246.991	-1456.896	209.9056	0.4669419	4.262896	1.135709	3.995803
330	-1240.966	-1451.169	210.203	0.4905607	4.721499	1.373244	3.61469
336	-1237.141	-1446.93	209.7887	0.5888773	4.721499	1.190483	3.884462
342	-1238.559	-1449.546	210.9878	0.7083666	5.878205	1.448611	2.801979
348	-1231.969	-1443.078	211.1095	0.8898879	4.700748	1.465899	2.801979
354	-1234.791	-1446.63	211.8391	0.9979107	5.144764	1.465899	2.198862
360	-1240.951	-1453.417	212.4658	0.9979107	5.498905	0.8498553	2.093985
366	-1250.332	-1461.629	211.2972	0.9979107	7.126693	0.8418501	2.602368
372	-1247.675	-1459.995	212.3199	0.9979107	6.81001	0.8593353	1.977688
378	-1248.059	-1459.752	211.692	1.002115	4.575762	1.421979	2.41568
